ID,infoteinimento,infoteinimento_n
35,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",342
36,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",342
37,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",325
38,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",324
39,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Reconhecimento de placas de trânsito ,Sistema de som Bang & Olufsen ,Volante multifuncional",338
40,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",258
41,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Filmagem do percurso ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Sonos ,Subwoofer ,Termômetro do líquido de arrefecimento ,Volante multifuncional",313
42,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",258
43,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Filmagem do percurso ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Sonos ,Subwoofer ,Termômetro do líquido de arrefecimento ,Volante multifuncional",313
44,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",258
45,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",353
46,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",322
47,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",290
48,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",353
49,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",322
50,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",353
51,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",322
52,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",365
53,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",365
54,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",365
55,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",306
56,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",325
57,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",314
58,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",314
59,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",325
60,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",306
61,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",314
62,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",314
63,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",325
64,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",313
65,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Rádio ,Termômetro da água do motor ,Volante multifuncional",267
66,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",330
67,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,Volante multifuncional",370
68,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",313
69,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,Volante multifuncional",370
70,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",330
71,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,TV digital ,Volante multifuncional",323
72,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,TV digital ,Volante multifuncional",323
73,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,TV digital ,Volante multifuncional",335
74,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",375
75,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,TV digital ,Volante multifuncional",300
76,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,TV digital ,Volante multifuncional",300
77,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,TV digital ,Volante multifuncional",270
78,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Filmagem do percurso ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Sonos ,Subwoofer ,Termômetro da água do motor ,Volante multifuncional",302
79,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",247
80,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Filmagem do percurso ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Sonos ,Subwoofer ,Termômetro da água do motor ,Volante multifuncional",302
81,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",247
82,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",342
83,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,Volante multifuncional",382
84,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,Volante multifuncional",351
85,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",311
86,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Rádio ,Termômetro da água do motor ,Volante multifuncional",279
87,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Rádio ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,Volante multifuncional",319
88,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",353
89,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",322
90,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",322
91,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,Volante multifuncional",382
92,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",342
93,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",311
94,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,Volante multifuncional",351
95,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro do líquido de arrefecimento ,Volante multifuncional",353
96,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",322
97,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Filmagem do percurso ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Tela para entretenimento traseiro ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",463
98,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Filmagem do percurso ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Tela para entretenimento traseiro ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",434
99,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Filmagem do percurso ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Tela para entretenimento traseiro ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",434
100,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Filmagem do percurso ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Tela para entretenimento traseiro ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",463
101,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",340
102,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",340
103,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Volante multifuncional",354
104,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",394
105,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",394
106,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,Termômetro do líquido de arrefecimento ,TV digital ,Volante multifuncional",394
107,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Termômetro da água do motor ,TV digital ,Volante multifuncional",354
108,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,DVD player ,Espelhamento da tela do celular ,HD interno ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",271
109,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Indicador de temperatura externa ,Leitor de cartão de memória ,Rádio ,Termômetro da água do motor ,Volante multifuncional",199
110,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",299
111,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Rádio ,Termômetro da água do motor ,Volante multifuncional",267
112,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Navegador GPS ,Rádio ,Roteador Wi-Fi ,Termômetro da água do motor ,Volante multifuncional",286
113,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Head-up display ,Indicador de temperatura externa ,Navegador GPS ,Rádio ,Roteador Wi-Fi ,Termômetro da água do motor ,Volante multifuncional",286
